lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
152.202272,2010-09-12 11:45:57,2010-09-19 14:36:26,australia,"lighthouse,canon,australia,nsw,nelsonbay,portstephens,400mm,fingalbay,5dmarkii",0,Harley Kingston,5005978918_c20ee66415.jpg,-32.747579,35169553@N06,http://www.flickr.com/photos/harlz_/5005978918/
151.208952,2010-09-17 08:46:28,2010-09-19 03:47:51,australia,"city,catholic,cathedral,sydney,aerial,nsw,skytower,stmarys",1,Craig Cullum,5004125016_113786f4e9.jpg,-33.870373,10547738@N00,http://www.flickr.com/photos/craigcullum/5004125016/
151.329503,2010-09-05 16:47:24,2010-09-19 05:55:02,australia,"light,house,palmbeachbeachwatersydneyaustralia",3,Thomas,5004293992_bafef871a9.jpg,-33.580039,8037416@N06,http://www.flickr.com/photos/teejaay/5004293992/
151.329545,2010-09-05 16:54:21,2010-09-19 05:43:02,australia,"beach,water,sydney,australia,palmbeach",3,Thomas,5004324380_ce83a9c6c7.jpg,-33.580222,8037416@N06,http://www.flickr.com/photos/teejaay/5004324380/
141.459977,2010-09-19 22:46:59,2010-09-19 10:16:20,australia,"nikon,flash,australia,nsw,aussie,brokenhill,cls,sb800,d90,nikon18200mmvr,strobist,su800,gimbert,gimbertt,timgimbert",42,Tim Gimbert,5004319650_26684720b2.jpg,-31.9572,8750156@N03,http://www.flickr.com/photos/gimbertt/5004319650/
151.212891,2010-06-19 23:01:37,2010-09-19 03:11:52,australia,"street,red,black,sign,yellow,print,50mm,sticker,web,text,bracket,sydney,nut,welldressedvandals",2,Michael,5004052896_b4f43c9618.jpg,-33.863141,43207518@N06,http://www.flickr.com/photos/mrdarkroom/5004052896/
151.102008,2010-09-19 13:54:31,2010-09-19 06:55:53,australia,"street,people,man,reflection,sunglasses,festival,candid,helmet,sydney,longhair,icecream,burwood,d40",0,"",5004517748_cb5ae3f655.jpg,-33.872375,40248773@N03,http://www.flickr.com/photos/40248773@N03/5004517748/
115.970783,2010-09-19 15:03:10,2010-09-19 07:12:57,australia,"sky,church,colours,blu,fine,australia,chiesa,colori,guilford,messa",9,Luca Bolatti Guzzo,5004559632_462f5a329b.jpg,-31.898036,20118538@N00,http://www.flickr.com/photos/20118538@N00/5004559632/
150.33245,2010-08-03 04:06:24,2010-09-19 10:56:01,australia,"landscape,waterfall,australia,hrd,luerafalls",8,Tom Huskinson,5004198327_fde72c8cf1.jpg,-33.711417,93314694@N00,http://www.flickr.com/photos/tomhuskinson/5004198327/
151.21328,2010-09-17 07:43:59,2010-09-19 03:43:11,australia,"city,church,architechture,catholic,cathedral,sydney,statues,nsw,stmarys",1,Craig Cullum,5004116116_4a6a791cc3.jpg,-33.871767,10547738@N00,http://www.flickr.com/photos/craigcullum/5004116116/
151.2325,2010-06-29 11:14:26,2010-09-19 05:33:42,australia,"family,people,selfportrait,sydney,australia,andrew,nsw,iphoto,locations,365days,365more,connected2010",0,Andrew Scott,5003713547_96078aa1e8.jpg,-33.918,63095697@N00,http://www.flickr.com/photos/andrewscott/5003713547/
140.185117,2009-06-24 10:01:56,2010-09-19 06:01:03,australia,"wild,male,bird,south,australia,mallee,gluepot,chestnutquailthrush,cinclosomacastanotus",21,Richard Hart,5004291042_7a43f8e9fa.jpg,-33.758384,27043746@N03,http://www.flickr.com/photos/richardhartphotography/5004291042/
145.461307,2009-06-30 23:37:39,2010-09-19 11:53:04,australia,"sunset,sky,reflection,water,clouds,port,boat,twilight,australia,queensland,portdouglas",23,"",5003938525_effcd164f1.jpg,-16.478775,11617533@N07,http://www.flickr.com/photos/11617533@N07/5003938525/
151.208952,2010-09-17 08:42:02,2010-09-19 03:47:07,australia,"city,ship,harbour,sydney,aerial,submarine,nsw,skytower,battleship",0,Craig Cullum,5004123630_486d06081e.jpg,-33.870373,10547738@N00,http://www.flickr.com/photos/craigcullum/5004123630/
151.207166,2010-07-01 14:02:43,2010-09-19 05:36:14,australia,"family,people,selfportrait,sydney,australia,andrew,nsw,iphoto,locations,365days,365more,connected2010",0,Andrew Scott,5003725991_5780df0e74.jpg,-33.868833,63095697@N00,http://www.flickr.com/photos/andrewscott/5003725991/
151.83894,2010-09-19 14:02:20,2010-09-19 05:59:48,australia,"plane,newcastle,fly,nikon,fighter,force,military,air,jet,australia,super,hornet,launch,airforce,nikkor,f18,panning,takeoff,runway,raaf,defence,williamtown,superhornet,70200mmf28g",2,Howard Poon,5004377560_64ddf809c4.jpg,-32.798602,22320124@N05,http://www.flickr.com/photos/22320124@N05/5004377560/
151.2325,2010-06-30 11:04:06,2010-09-19 05:34:38,australia,"family,people,selfportrait,tim,susan,sydney,australia,andrew,shannon,nsw,iphoto,lindy,locations,365days,365more,connected2010",0,Andrew Scott,5004322462_9df9c0743f.jpg,-33.918,63095697@N00,http://www.flickr.com/photos/andrewscott/5004322462/
151.104428,2010-09-17 10:38:47,2010-09-19 03:11:06,australia,"orange,white,black,lines,bars,ramp,favorites,potential,waitara,nikond5000",3,Timothy Allen,5003439923_d81f7860e8.jpg,-33.707919,48011145@N00,http://www.flickr.com/photos/thristian/5003439923/
151.212033,2010-06-19 21:10:15,2010-09-19 03:06:13,australia,"longexposure,blue,red,people,orange,cars,june,festival,stone,night,moving,shadows,purple,traffic,walk,sydney,vivid,pedestrian,festivaloflights,2010",3,Michael,5004042900_b92a648aa0.jpg,-33.869346,43207518@N06,http://www.flickr.com/photos/mrdarkroom/5004042900/
151.83909,2010-09-19 13:40:44,2010-09-19 05:52:42,australia,"plane,fire,nikon,fighter,force,military,air,jet,dump,australia,off,burn,nsw,take,newsouthwales,nikkor,raaf,defence,fuel,ignite,williamtown,f111,70200mmf28g",9,Howard Poon,5003707765_8bbeecb2fc.jpg,-32.798782,22320124@N05,http://www.flickr.com/photos/22320124@N05/5003707765/
