lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
121.431033,2010-09-18 11:12:59,2010-09-19 06:34:56,china,"cherry,pan,cowgirl,girlie,viamobile,viamail,xiaolu,nexusone",43,Andre Pan,5003848171_8c7358d3d3.jpg,31.129727,49503064331@N01,http://www.flickr.com/photos/popoever/5003848171/
121.539611,2010-09-19 12:26:17,2010-09-19 11:00:10,china,"china,2,ningbo,zhejiang,20100919,寧波廊橋心境,浙江寧波day",2,"",5005085538_58f53ac0b7.jpg,29.870611,30531653@N00,http://www.flickr.com/photos/komodoxp/5005085538/
90.67405,2010-09-19 17:08:45,2010-09-19 07:45:41,china,"blog,kanpei,earthmarathon",282,"",5003489821_50e232977f.jpg,43.035105,32760626@N05,http://www.flickr.com/photos/earthmarathon/5003489821/
119.93685,2010-09-19 18:09:13,2010-09-19 03:33:00,china,"apple,宝宝,iphone,橙子,iphone4,iluvo",33,"",5003447419_e9b5ebacbc.jpg,31.707666,88348389@N00,http://www.flickr.com/photos/hidigi/5003447419/
121.426477,2010-09-06 14:11:56,2010-09-19 12:57:34,china,"china,people,streets,asia,shanghai,metro,m43,gf1,20mmf17pancake",70,Rob,5004151815_855e3454e6.jpg,31.214489,34511387@N07,http://www.flickr.com/photos/robshanghai/5004151815/
116.400661,2005-08-01 05:04:14,2010-09-19 10:22:51,china,"china,beijing,forbiddencity,cina,pechino,cittàproibita",7,Marina,5004749894_978bf657a7.jpg,39.930537,26260958@N08,http://www.flickr.com/photos/marinaluglio/5004749894/
116.370974,2010-07-17 06:45:58,2010-09-19 07:00:25,china,"china,train,geotagged,beijing,trainstation,waterheater,chn,beijingsouth,majiapu,geo:lat=3986207017,geo:lon=11637097478",2,Glenn,5004541394_170c3e3b7c.jpg,39.862069,95722316@N00,http://www.flickr.com/photos/glennaa/5004541394/
121.463644,2010-08-14 17:25:19,2010-09-19 07:34:31,china,"china,buildings,shanghai,wires,sigma1020mm,d90,田子坊,travel:country=china,travel:city=shanghai,camera:lens=sigma1020mm,camera:camera=d90",13,Michael,5004634848_f501821f0f.jpg,31.21002,73439432@N00,http://www.flickr.com/photos/personaldork/5004634848/
120.627616,2009-10-07 02:45:52,2010-09-19 11:11:18,china,"water,lines,wall,museum,raw,suzhou,geometry,drop,iphotooriginal,tokinaaf19321935mmf3545,flickrkeywords",1,Gabriel,5005334140_d88d3dd208.jpg,31.320646,59297909@N00,http://www.flickr.com/photos/gabyu/5005334140/
116.370974,2010-07-17 07:31:30,2010-09-19 07:00:30,china,"china,window,train,table,geotagged,beds,beijing,trainstation,teapot,chn,beijingsouth,majiapu,geo:lat=3986207017,geo:lon=11637097478",3,Glenn,5004541686_e319e990ff.jpg,39.862069,95722316@N00,http://www.flickr.com/photos/glennaa/5004541686/
