lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
2.829537,2010-09-01 22:39:18,2010-09-19 14:46:43,europe,"blackwhite,softness,mother,pregnancy,son,pregnant,communication,belly,strobist,sylvainlatouche,alpha850",260,Sylvain Latouche,5003663759_e317ed5c42.jpg,50.507756,51166245@N07,http://www.flickr.com/photos/sylvain_latouche/5003663759/
-8.162155,2010-08-04 15:49:34,2010-09-19 14:39:09,europe,"portugal,casa,sony,serra,sincity,gerês,abandonada,coth,dslra100,serradogerês,qualitystructuresppf",104,gilberto oliveira,5004008015_e0893a514d.jpg,41.729305,25345788@N07,http://www.flickr.com/photos/gilxxl/5004008015/
10.926418,2010-09-18 18:44:05,2010-09-19 13:18:49,europe,"nature,germany,thüringen,nikon,erfurt,natur,feld,wiese,fotosyntheseerfurt",67,"",5005028402_175c73336d.jpg,50.932955,46416878@N06,http://www.flickr.com/photos/fotosynthe-erfurt/5005028402/
-0.123853,2010-05-26 02:42:42,2010-09-19 14:21:39,europe,"abstract,london,westminster,subway,tube,jamesneeley",104,James Neeley,5004599724_0de86a0a12.jpg,51.501102,59514628@N00,http://www.flickr.com/photos/jpn/5004599724/
1.26613,2007-10-06 15:28:49,2010-09-19 13:43:21,europe,"catalunya,tarragona,mònica,nikond200,0291,joanot,octubre2007,eltarragonés",211,Joan Bellver,5002310880_529e5752d9.jpg,41.120972,8359402@N05,http://www.flickr.com/photos/joanot/5002310880/
2.193413,2010-06-27 18:07:47,2010-09-19 14:08:54,europe,"barcelona,lines,architecture,underground,design,spain,arquitectura,europe,metro,curves,bcn,shapes,bdf,architectuur,tmb,l10,onzedesetembre,l9,transportsmetropolitansdebarcelona,jsprhrmsnphotography",96,jasper hermsen,5000591849_7ed87a8c0e.jpg,41.429736,7627397@N08,http://www.flickr.com/photos/jsprhrmsn/5000591849/
9.721579,2010-09-19 17:47:01,2010-09-19 13:39:32,europe,"light,red,orange,black,hot,cold,texture,silhouette,yellow,dark,warm,candles,mood,candle,darkness,atmosphere,scratches,romance,burning,burn,romantic,coldness",35,Anja,5005014176_ab00c50d03.jpg,52.348751,14151113@N08,http://www.flickr.com/photos/14151113@N08/5005014176/
4.475474,2010-09-19 09:49:09,2010-09-19 14:41:29,europe,"carlzeiss,nikond700,poppiespoppy,devetpanstudios,siebewarmoeskerken,50mm14zf2planart,thankyouallforthemassivesupport",608,Siebe Warmoeskerken,5003646815_cc5d44d370.jpg,51.449406,34083509@N00,http://www.flickr.com/photos/swarmoeskerken/5003646815/
15.89204,2010-08-08 18:11:12,2010-09-19 14:48:49,europe,"street,colors,europe,croatia,hdr,orton,sibenik,dalmatia,kalelarga",81,"",5004685240_cf00733663.jpg,43.734999,40153402@N03,http://www.flickr.com/photos/40153402@N03/5004685240/
14.496406,2010-08-28 17:18:25,2010-09-19 11:44:22,europe,"travel,photoshop,reflex,nikon,italia,campania,tp,viaggi,pompei,anfiteatro,cdp,creatività,linescurves,d80,mywinners,bellitalia,1855vr,anticando,spiritofphotography,expressyourselfaward,theauthorsplaza,sirbaf79",74,Fabrizio,5001814402_173251b1a3.jpg,40.74872,39789628@N04,http://www.flickr.com/photos/sirbaf79/5001814402/
18.104352,2010-08-10 15:40:22,2010-09-19 14:41:02,europe,"summer,animal,wall,museum,cherry,squirrel,stockholm,outdoor,skansen,ekorre,buidling,djur,körsbär,flickraward",54,Berndt Sjösten,5004548801_043a005c9c.jpg,59.326378,45669903@N06,http://www.flickr.com/photos/berndts/5004548801/
-3.368854,2010-09-08 11:02:38,2010-09-19 14:51:21,europe,"españa,andalucía,spain,spanien,jaén,bedmar,jódar,sierramágina,venturacarmona,garcíez,bedmarygarcíez",109,"",5003520369_a0bee11def.jpg,37.807546,8866963@N06,http://www.flickr.com/photos/venturacarmona/5003520369/
-3.803468,2010-05-11 14:58:21,2010-09-19 14:41:08,europe,"madrid,detail,museum,canon,cuatro,aviation,air,sigma,museo,1020,aire,hdr,topaz,adjust,sigma1020mm,mig21,vientos,noiseware,fishbed,photomatix,mikoyangurevich,tonemapped,eos450d,colorphotoaward,servalpe",534,Sergio Valverde Pérez,4600037147_244bb090dc.jpg,40.365736,41924773@N03,http://www.flickr.com/photos/servalpepbase/4600037147/
9.653116,2010-08-21 11:07:49,2010-09-19 13:57:06,europe,"travel,blue,friends,sea,summer,sky,italy,sun,verde,nature,montagne,italia,mare,estate,liguria,natura,case,sugar,cielo,mind,monterosso,viaggio,spiaggia,scogli,flickrgoldaward,flickrbronzeaward,flickrsilveraward,mygearandme",201,Gianni,4999231219_817e259174.jpg,44.145309,34277139@N08,http://www.flickr.com/photos/sugar_mind/4999231219/
-9.130352,2010-07-16 12:42:57,2010-09-19 14:48:09,europe,"sky,portugal,public,clouds,geotagged,europa,europe,nuvole,lisboa,©,olympus,cielo,nuages,zuiko,hdr,allrightsreserved,2010,lisbona,portogallo,zd,tancredi,©allrightsreserved,1442mm,e410,july2010,olympuse410,carlotancredi,georeferenziata,16july2010,p7160021",129,"",5001408627_4408d1ce71.jpg,38.712295,7340910@N02,http://www.flickr.com/photos/carlotancredi/5001408627/
-3.519744,2010-09-18 19:29:16,2010-09-19 14:32:57,europe,"ocean,sunset,sea,seaweed,reflection,beach,water,rocks,surf,waves,stones,pebbles,foam,caithness,thurso",68,"",5004066212_65e8915ff4.jpg,58.598183,35773316@N06,http://www.flickr.com/photos/northern_exposures_2009/5004066212/
2.188307,2010-08-26 15:20:33,2010-09-19 13:29:25,europe,"estudio,sueños,niñez,sesión,fantasía,kanjungla",95,Juan Díaz,5004340304_d4b72bea3d.jpg,41.438093,28678473@N04,http://www.flickr.com/photos/kanjungla/5004340304/
3.982801,2010-09-02 11:10:30,2010-09-19 14:27:37,europe,"france,film,analog,35mm,frankreich,t4,yashicat4,xtra400,fujicolorsuperiaxtra400,kleinbild,autaut",164,Sebastian Reiser,4950374823_74aa50f751.jpg,44.856355,7921910@N04,http://www.flickr.com/photos/sebastianreiser/4950374823/
-9.13798,2010-07-16 11:42:41,2010-09-19 14:50:58,europe,"bw,portugal,public,geotagged,europa,europe,lisboa,lisbon,©,olympus,bn,zuiko,allrightsreserved,2010,lisbona,portogallo,zd,tancredi,©allrightsreserved,1442mm,e410,july2010,olympuse410,carlotancredi,georeferenziata,16july2010,p7160012",118,"",5004091734_e896a646a6.jpg,38.70803,7340910@N02,http://www.flickr.com/photos/carlotancredi/5004091734/
-0.291899,2009-09-10 18:28:16,2010-09-19 14:09:03,europe,"leica,uk,england,kewgardens,london,nature,animal,kew,duck,europa,europe,united,kingdom,natura,animali,anatra,royalbotanicgardenskew,supershot,kalsa,abigfave,leicadlux3,colorphotoaward,citrit,damniwishidtakenthat,mariaadelaidemondini,mamondini",58,Maria Adelaide Mondini Palermo - Italia,5004017070_f631b08c27.jpg,51.479144,14209672@N08,http://www.flickr.com/photos/mamondini/5004017070/
