lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
135.761318,2010-09-19 17:50:25,2010-09-19 07:45:11,japan,"kyoto,f14,75mm,gf1,cosmicar,cmount,烏丸今出川",23,"",5003600661_3435641304.jpg,35.029223,32911604@N05,http://www.flickr.com/photos/maida0922/5003600661/
139.699423,2010-09-19 22:16:28,2010-09-19 13:53:05,japan,"2010,iphone,photodesk,iphone4,iphoneography,hipstamatic",33,ARCH,5003825531_679b62b638.jpg,35.690607,7522117@N08,http://www.flickr.com/photos/archiphone/5003825531/
132.319166,2009-09-18 18:28:04,2010-09-19 14:12:53,japan,"sunset,japan,miyajima,torii,japón",15,"",5005073228_054cfbab77.jpg,34.296833,98043402@N00,http://www.flickr.com/photos/manolnet/5005073228/
139.576325,2010-09-18 12:02:26,2010-09-19 04:24:56,japan,"tokyo,東京,tsutsujigaoka,eos5d,omzuiko55mmf12,つつじヶ丘",12,tak mat,5004076666_a5d3f12eec.jpg,35.6536,22851828@N07,http://www.flickr.com/photos/fragment_scene/5004076666/
139.447575,2010-09-19 12:45:35,2010-09-19 14:43:59,japan,"flowers,flower,nature,α55",34,Michiteru KODAMA,5004395384_f665751446.jpg,35.577719,43444131@N00,http://www.flickr.com/photos/kodamatic/5004395384/
135.521499,2010-09-19 14:32:23,2010-09-19 13:09:40,japan,"macro,digital,canon,eos,90mm,tamronspaf90mmf28dimacro",36,sǝʎɐɯ ɯı1,5004179896_bffb3b6efb.jpg,34.610122,7924276@N03,http://www.flickr.com/photos/18percentsgray/5004179896/
135.762863,2010-09-19 16:53:20,2010-09-19 09:21:46,japan,"kyoto,soft,bokeh,f14,京都御所,75mm,crapemyrtle,gf1,サルスベリ,silkypix,cosmicar,cmount",5,"",5004073945_1543ce58fc.jpg,35.022897,32911604@N05,http://www.flickr.com/photos/maida0922/5004073945/
138.386535,2010-09-19 17:05:38,2010-09-19 14:11:42,japan,"anime,japan,japanese,gundam,shizuoka,mobilesuit,rx78,11scale,realsized",59,"",5004034483_bf20a16887.jpg,34.974876,8205092@N02,http://www.flickr.com/photos/bananagranola/5004034483/
135.521499,2010-09-19 14:54:46,2010-09-19 10:36:21,japan,"macro,digital,canon,eos,aperture,90mm,tamronspaf90mmf28dimacro",69,sǝʎɐɯ ɯı1,5004187310_a05483574e.jpg,34.610122,7924276@N03,http://www.flickr.com/photos/18percentsgray/5004187310/
134.670846,2010-09-20 00:10:00,2010-09-19 14:25:37,japan,"city,urban,man,texture,japan,walking,japanese,kanji,iphone,徳島,takenwithaniphone,iphoneography,daveweekes",24,Dave Weekes,5004739314_79d8e5f808.jpg,33.919361,26230979@N03,http://www.flickr.com/photos/26230979@N03/5004739314/
134.670846,2010-09-19 22:17:36,2010-09-19 14:21:40,japan,"japan,train,japanese,nikon,velvia,shinkansen,bullettrain,iphone",22,Dave Weekes,5004436928_c5ddcc1a70.jpg,33.919361,26230979@N03,http://www.flickr.com/photos/26230979@N03/5004436928/
139.466114,2010-09-19 17:44:04,2010-09-19 07:12:16,japan,"blue,sky,cloud",16,ITAGAMI Tack,5004173154_263044033c.jpg,35.805075,99611801@N00,http://www.flickr.com/photos/upperslope/5004173154/
139.7954,2008-08-31 15:52:42,2010-09-19 12:22:51,japan,"japan,plane,tokyo,ana,airport,boeing,haneda,b777",8,"",5004292717_cd980ac434.jpg,35.532725,27889738@N07,http://www.flickr.com/photos/27889738@N07/5004292717/
139.809447,2010-05-03 17:48:06,2010-09-19 12:22:35,japan,"railroad,bridge,japan,train,river,tokyo,arakawa,adachi,truss",6,"",5004918870_bfb826ee8e.jpg,35.759183,27889738@N07,http://www.flickr.com/photos/27889738@N07/5004918870/
139.664329,2010-09-19 21:16:17,2010-09-19 13:30:35,japan,"street,blackandwhite,bw,japan,night,tokyo,chair,sigma,setagaya,foveon,世田谷,椅子,dp2,sigmadp2",50,Guwashi,5004565005_83b2d3829d.jpg,35.668771,16877319@N07,http://www.flickr.com/photos/guwashi999/5004565005/
135.763034,2010-09-19 16:44:56,2010-09-19 10:35:37,japan,"kyoto,bokeh,f14,京都御所,75mm,gf1,silkypix,cosmicar,cmount",10,"",5004073489_e311404fce.jpg,35.022264,32911604@N05,http://www.flickr.com/photos/maida0922/5004073489/
134.183578,2010-09-18 14:26:20,2010-09-19 12:55:47,japan,"leica,light,sunlight,digital,50mm,dof,bokeh,buddha,buddhist,faith,belief,buddhism,f10,relief,utata,flare,noctilux,mercy,2010,m9,高知,室戸,leicanoctilux50mmf10,leicam9,室戸山最御崎寺",118,"",5003827127_1094e96e9f.jpg,33.240482,17958048@N00,http://www.flickr.com/photos/moaan/5003827127/
135.521499,2010-09-19 15:05:50,2010-09-19 07:14:07,japan,"macro,digital,canon,eos,90mm,tamronspaf90mmf28dimacro",33,sǝʎɐɯ ɯı1,5004177122_40e6b514b8.jpg,34.610122,7924276@N03,http://www.flickr.com/photos/18percentsgray/5004177122/
139.712446,2010-04-03 13:03:01,2010-09-19 08:30:00,japan,"japan,50mm,tokyo,shinjuku,asahi,pentax,takumar,f14,super,sp,m42,桜,日本,sakura,新宿御苑,東京,100,新宿,coated,multi,shd,新一代,thorium,乐凯,atomlens",61,"",5002712153_d143ec27f4.jpg,35.681757,9301487@N07,http://www.flickr.com/photos/toki_dub/5002712153/
138.940486,2010-09-19 22:48:41,2010-09-19 08:51:11,japan,"2010,newmamiya6,fujipro800,mamiyag80f35,内野祭り,uchinomatsuri",45,Trash Star,5004527068_5f97cddb0a.jpg,37.862182,8121187@N02,http://www.flickr.com/photos/livingbraindonor/5004527068/
