lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
-73.953834,2010-09-19 12:17:17,2010-09-19 11:47:30,nyc,cameraphone,142,Kellan,5004355513_af7e749c9c.jpg,40.7165,51035734193@N01,http://www.flickr.com/photos/kellan/5004355513/
-73.978935,2010-09-14 01:18:59,2010-09-19 13:55:34,nyc,"nyc,nikon,esb,empirestatebuilding,d700",13,Simon Alibert,5004445679_dacc14d591.jpg,40.758514,10353337@N00,http://www.flickr.com/photos/simon-alibert/5004445679/
-73.966484,2010-09-19 10:58:58,2010-09-19 13:55:53,nyc,"mirror,enzo,iphone4,shakeitphoto,clintonhillfortgreenebrooklynny",16,Kara,5004096009_3870c792e7.jpg,40.691222,85208801@N00,http://www.flickr.com/photos/omeyisland/5004096009/
-74.087367,2010-09-19 13:44:32,2010-09-19 13:47:08,nyc,"usa,america,aea",21,Jeffrey Zeldman,5005249770_88057ef106.jpg,40.755481,48889052497@N01,http://www.flickr.com/photos/zeldman/5005249770/
-73.991782,2010-09-10 17:10:26,2010-09-19 12:08:38,nyc,"newyork,bowery,manhatten,fdny,firedepartment,engine33",32,Roland Hertwig,5004388375_cc101a6fa0.jpg,40.726384,47083987@N06,http://www.flickr.com/photos/rhg2010/5004388375/
-73.99778,2010-09-13 17:32:57,2010-09-19 13:04:54,nyc,"newyorkcity,people,woman,usa,ny,bike,blog,flickr,manhattan,clown,washingtonsquare",33,Susan Dennis,5005207500_0a2b4b2ed3.jpg,40.730771,62816760@N00,http://www.flickr.com/photos/susandennis/5005207500/
-73.989808,2010-08-19 18:51:46,2010-09-19 09:34:50,nyc,"street,new,york,city,nyc,bridge,light,summer,cinema,ny,brooklyn,canon,eos,cinematic",11,andrea nardi,5003913493_0efb848252.jpg,40.703187,44887644@N07,http://www.flickr.com/photos/andreanardi/5003913493/
-73.968715,2010-08-19 18:22:52,2010-09-19 04:59:47,nyc,"blue,light,cinema,newyork,cars,brooklyn,canon,eos,traffic,violet,cinematic",8,andrea nardi,5003620183_3f92b18bf0.jpg,40.712069,44887644@N07,http://www.flickr.com/photos/andreanardi/5003620183/
-73.844132,2010-07-27 13:29:37,2010-09-19 09:39:55,nyc,"nyc,garage,hasselblad,queens,willetspoint,hassynyc,h4d40,hassyusa",14,Timothy Schenck,5004465534_02343d9398.jpg,40.759326,80258788@N00,http://www.flickr.com/photos/timothyschenck/5004465534/
-73.990468,2010-09-19 22:36:05,2010-09-19 14:28:55,nyc,"park,new,york,city,nyc,usa,fish,ny,newyork,france,brooklyn,america,us,nikon,manhattan,unitedstatesofamerica,fisheye,manhattanbridge,nikkor,amerika,brooklin,parc,français,hdr,anto,brooklinbridge,américain,staaten,xiii,amérique,vereinigtestaatenvonamerika,vereinigte,16mmfisheye,d700,antoxiii,hdr9raw",280,A.G. Photographe,5003459147_8f6e530cd8.jpg,40.704407,27420180@N08,http://www.flickr.com/photos/anto13/5003459147/
-73.977239,2010-09-18 19:54:17,2010-09-19 09:08:37,nyc,"street,leica,newyork,brooklyn,night,kensington,f11,nokton,voigtländer,m9,11218,churchavenue",11,Witold Riedel,5004703914_367f4be093.jpg,40.643746,35034348860@N01,http://www.flickr.com/photos/witold/5004703914/
-74.008074,2010-09-17 17:49:13,2010-09-19 13:04:16,nyc,"nyc,newyorkcity,woman,ny,newyork,beer,girl,smile,bar,outside,eyecontact,neon,sitting,streetphotography,security,smoking,guinness,spirits,sidewalk,yankees,distracted",12,John Fraissinet,5005176832_3e2036166a.jpg,40.715696,62668801@N00,http://www.flickr.com/photos/jfraissi/5005176832/
-73.976113,2010-09-18 19:06:29,2010-09-19 14:25:59,nyc,"street,leica,newyork,brooklyn,night,polska,kensington,f11,nokton,voigtländer,m9,sklep,polacy,11218,churchavenue,nowyjork,wbrooklinie",17,Witold Riedel,5004703210_3f67132cab.jpg,40.644145,35034348860@N01,http://www.flickr.com/photos/witold/5004703210/
-73.990108,2010-08-19 19:01:40,2010-09-19 14:09:13,nyc,"park,street,old,bridge,cinema,girl,brooklyn,canon,river,canal,photo,manhattan,candid,east,cinematic",42,andrea nardi,5004060309_9aa488e396.jpg,40.704513,44887644@N07,http://www.flickr.com/photos/andreanardi/5004060309/
