lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
-122.468601,2010-08-29 22:43:07,2010-09-19 14:16:12,san_francisco,"sanfrancisco,people,reflections,tourists,processing,hdr,2010,reportage,hyperreal",13,Arielle Condon,5004533994_219feb017c.jpg,37.7711,14739618@N08,http://www.flickr.com/photos/theerstwhilekate/5004533994/
-122.430511,2010-09-18 16:54:50,2010-09-19 11:23:27,san_francisco,"sanfrancisco,japantown,jtown,nihonmachi,newpeople,3star,6dokidoki,ef85mmf18usm,harajukukawaiiexperience",18,Mark,5003430371_4daab9330d.jpg,37.785542,34186459@N00,http://www.flickr.com/photos/34186459@N00/5003430371/
-122.430511,2010-09-18 14:31:46,2010-09-19 11:25:39,san_francisco,"sanfrancisco,japantown,jtown,nihonmachi,mitsuyo,newpeople,ef85mmf18usm,jinnyoops",15,Mark,5004040594_1e369fda37.jpg,37.785542,34186459@N00,http://www.flickr.com/photos/34186459@N00/5004040594/
-122.466559,2008-05-05 19:02:33,2010-09-19 14:20:13,san_francisco,"sanfrancisco,deyoungmuseum,museum,legs,deyoung,otherkeywords",105,Thomas Hawk,5003796817_6a259c9f15.jpg,37.772827,51035555243@N01,http://www.flickr.com/photos/thomashawk/5003796817/
-122.481873,2010-09-19 06:23:52,2010-09-19 14:26:07,san_francisco,"sf,sanfrancisco,california,morning,water,sunrise,dawn,lights,goldengatebridge,goldengate,sanfranciscobay,bluehour,ggb,heurebleue",37,Chris Saulit,5004801338_4feb82f82a.jpg,37.827526,65355162@N00,http://www.flickr.com/photos/csaulit/5004801338/
-122.411112,2008-11-23 13:59:58,2010-09-19 08:14:27,san_francisco,"sanfrancisco,architecture,court,appealscourt,unitedstatescourtofappeals,9thcircuitcourtofappeals,uscourt,9thcircuitcourt",17,Thomas Hawk,5003777557_dfdc1e1bd1.jpg,37.779563,51035555243@N01,http://www.flickr.com/photos/thomashawk/5003777557/
-122.402485,2010-08-05 00:12:43,2010-09-19 04:58:03,san_francisco,"sanfrancisco,california,ca,usa,us,unitedstates,yerbabuena,californie,yerbabuenagarden",10,Pierrick Blons,5003537347_e3fa089ff7.jpg,37.784931,10714323@N03,http://www.flickr.com/photos/pierrickblons/5003537347/
-122.430677,2010-09-18 16:42:03,2010-09-19 14:13:39,san_francisco,"sanfrancisco,japantown,jtown,nihonmachi,newpeople,6dokidoki,ef85mmf18usm,harajukukawaiiexperience",24,Mark,5003434037_0ac4327139.jpg,37.785536,34186459@N00,http://www.flickr.com/photos/34186459@N00/5003434037/
-122.402485,2010-08-05 00:23:50,2010-09-19 12:54:30,san_francisco,"sanfrancisco,california,ca,usa,us,unitedstates,yerbabuena,californie,yerbabuenagarden",14,Pierrick Blons,5005338574_029599d7ee.jpg,37.784931,10714323@N03,http://www.flickr.com/photos/pierrickblons/5005338574/
-122.405799,2010-09-10 19:01:00,2010-09-19 11:57:24,san_francisco,"sanfrancisco,california,tower,coittower,coit,sanfranciscocalifornia",1,Tony Perrie,5004843495_5df6f87e53.jpg,37.802346,35053748@N00,http://www.flickr.com/photos/hoyhoy/5004843495/
