lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
-119.256076,2010-09-17 18:45:29,2010-09-19 14:28:19,usa,"reflection,nikkor50mm18,rainbowslinky,nikond80,optekaextensiontubes",78,Wendell,5004364118_0e832fe012.jpg,34.267502,68842954@N00,http://www.flickr.com/photos/intherough/5004364118/
-78.207206,2010-09-19 07:43:05,2010-09-19 12:41:42,usa,"skylinedrive,shenandoahnationalpark,dickeyridge,nikond700,michaelbesant,nikon1635mm",29,Mike Besant,5003626261_de92338321.jpg,38.872725,28031728@N02,http://www.flickr.com/photos/mikebesant/5003626261/
-120.168623,2010-08-12 19:31:33,2010-09-19 13:50:37,usa,"ocean,sea,beach,coast,sand,rocks,pacific,stones,pacificocean,cobbles,gaviotacoast,dsc0032sfr",89,Marc  Briggs,5001777798_17ddee5b88.jpg,34.469609,86569066@N00,http://www.flickr.com/photos/gotfish_mb/5001777798/
-79.602534,2010-09-18 12:56:46,2010-09-19 14:42:34,usa,"tree,bird,nature,nikon,wildlife,flight,kingfisher,lakeontario,mississauga,avian,bif,rattraymarsh,d90,nikon80400,slblanding",44,"",5003736503_dcaa7e565e.jpg,43.517676,34673765@N03,http://www.flickr.com/photos/rc2009/5003736503/
-119.664782,2009-09-27 01:42:48,2010-09-19 14:34:13,usa,"reflections,bravo,rocks,yosemite,valleyview,yosemitevalley,mercedriver",62,Mimi,5004471528_43aa67975e.jpg,37.720117,76881072@N00,http://www.flickr.com/photos/mimigd/5004471528/
-111.604254,2010-09-18 08:51:10,2010-09-19 13:55:49,usa,"autumn,usa,fall,utah,maple,logancanyon,us89,cachecounty,instantfave,goldstaraward,orig:file=20100915eos30d104481000",10,Bob Palin,5005155632_6517690425.jpg,41.832615,7419554@N02,http://www.flickr.com/photos/bobpalin/5005155632/
-121.817178,2009-11-09 15:28:15,2010-09-19 14:38:46,usa,"california,seaweed,bigsur,pacificocean,kelp,seabird,jadecove,wormseyeviewsunday,hwevs,itsabokehbird,cantrememberwhatkindandthisistoofuzzytoseedetail",38,Trina,5003979943_0ef392edfb.jpg,36.238942,37564613@N00,http://www.flickr.com/photos/pixelmama/5003979943/
-122.663667,2010-09-18 07:10:16,2010-09-19 12:28:11,usa,"bw,fog,oregon,river,portland,1755mmf28g,willametteriver,sellwood,sellwoodbridge,floatinghouses,afsdxzoomnikkor1755mmf28gifed",40,Ben McLeod,5004362565_e1392e79f0.jpg,45.46433,44124472651@N01,http://www.flickr.com/photos/benmcleod/5004362565/
-122.471342,2010-08-27 11:51:39,2010-09-19 14:46:07,usa,"sanfrancisco,california,goldengatepark,red,flower,rose,nikon,maco,d200,70300mm,rosegarden,jaypasion",26,Jay Pasion,5004935025_c790c49fea.jpg,37.771851,20475254@N05,http://www.flickr.com/photos/jaypasion/5004935025/
-81.431694,2010-09-15 12:11:02,2010-09-19 14:42:32,usa,"flowers,plants,nature,floral",32,Brian,5004136703_39b83dc6d2.jpg,41.560747,38552793@N06,http://www.flickr.com/photos/artist1131/5004136703/
-76.439716,2010-09-11 17:55:50,2010-09-19 14:50:31,usa,"cloud,ontario,canada,reflections,boats,lakeontario,moorings,stlawrenceriver,wolfeisland",50,Liz,5004040151_5fbbfc0445.jpg,44.194586,53531820@N00,http://www.flickr.com/photos/kingstongal/5004040151/
-83.123046,2010-09-19 09:08:00,2010-09-19 14:14:42,usa,"",98,Chris Doyle,5004695355_cb4726f52c.jpg,42.490896,60461642@N00,http://www.flickr.com/photos/reasonablyclever/5004695355/
-82.143648,2010-09-18 09:48:34,2010-09-19 13:46:31,usa,"longexposure,nature,yellow,rock,golden,nc,moss,northcarolina,rhododendron,cascade,naturephotography,rhodo,crabtreefalls,yanceycounty,bigcrabtreecreek,davidhopkinsphotograpy",27,David Hopkins,5003997157_b405b6321d.jpg,35.812514,16170588@N07,http://www.flickr.com/photos/davidhopkinsphotography/5003997157/
-88.083057,2010-09-17 16:48:34,2010-09-19 11:56:16,usa,"autumn,light,shadow,red,summer,black,tree,green,fall,colors,sunshine,yellow,turn,dark,maple,seasons,bokeh,hidden,shade,change,veins,backlit,giveway,transition,mortonarboretum,freemanmaple",28,Christiaan,5003582750_13974db95c.jpg,41.816471,13613120@N05,http://www.flickr.com/photos/christiaan_25/5003582750/
-83.027537,2010-06-12 09:43:14,2010-09-19 12:37:47,usa,"usa,abandoned,graffiti,unitedstates,10,michigan,unitedstatesofamerica,detroit,urbanexploration,packard,packardplant,urbex,fav10,ventri,stephaniekeating,detroit0610dmu",120,Thomas Hawk,5004413744_326bc7da89.jpg,42.378636,51035555243@N01,http://www.flickr.com/photos/thomashawk/5004413744/
-115.145334,2010-09-14 17:44:28,2010-09-19 14:37:37,usa,"cars,gold,lasvegas,nevada,unitedstatesofamerica,motorcycles,electronics,trucks,antiques,jewelery,televisions,rickharrison,open24hrs,pawnshops,digitalagent,sterlingflatware,kenyuel,pawnstars,coreybighossharrison,richardtheoldmanharrison,austinchumleerussell,lasvegaspawnshops,713lasvegasblvds,bringinyourgoods,30centsonthedollar",95,Ken Yuel,5004585190_6ec88167c2.jpg,36.161666,8076478@N07,http://www.flickr.com/photos/specialagent/5004585190/
-73.990468,2010-09-19 22:36:05,2010-09-19 14:28:55,usa,"park,new,york,city,nyc,usa,fish,ny,newyork,france,brooklyn,america,us,nikon,manhattan,unitedstatesofamerica,fisheye,manhattanbridge,nikkor,amerika,brooklin,parc,français,hdr,anto,brooklinbridge,américain,staaten,xiii,amérique,vereinigtestaatenvonamerika,vereinigte,16mmfisheye,d700,antoxiii,hdr9raw",280,A.G. Photographe,5003459147_8f6e530cd8.jpg,40.704407,27420180@N08,http://www.flickr.com/photos/anto13/5003459147/
-110.662107,2010-08-11 07:50:33,2010-09-19 14:49:55,usa,"tetons,moulton,barn,morning,morningattheranch,grandtetons,life,landscape,scenic,southmoultonbarnsunrise,sunrise,dawn,fields,prarie,mountains,peace,pictures,tourist,tourism,wyoming,thegrandtetons,canon,west,travel,camping,hiking,mormonrow",62,Matt Champlin,5004341844_73637c7bc7.jpg,43.639118,29762217@N00,http://www.flickr.com/photos/mattchamplin/5004341844/
-122.193701,2010-02-27 18:48:23,2010-09-19 14:13:18,usa,"ocean,california,sunset,sea,panorama,beach,photography,surf,waves,pacific,wave,stack,foam,davenport,darvin,atkeson,darv,liquidmoonlightcom",58,Darvin Atkeson,5004083948_fc6d3c5fa2.jpg,37.009119,60027837@N00,http://www.flickr.com/photos/liquidmoonlightcom/5004083948/
-105.183615,2010-09-19 12:15:04,2010-09-19 14:52:06,usa,"sky,cloud,sunlight,storm,nature,rain,clouds,skyscape,landscape,nikon,peak,stormy,co,pikes,thunderstorm,cloudscape,pikespeak,speckled,teller,exposureblending,twoexposures,tellercounty,nikon1735,d700",80,Michael Menefee,5005392112_f2f11c346c.jpg,38.903173,70619288@N00,http://www.flickr.com/photos/fortphoto/5005392112/
