lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
,2007-07-17 06:03:01,2010-09-09 10:16:57,pei,"flowers,house,abandoned,princeedwardisland,pei,lupins,maritimes,collapsed,abigfave,artlibre,aplusphoto,goldenphotographer",3028,Irene Suchocki,1247618519_5837df4506.jpg,,37043062@N00,http://www.flickr.com/photos/irenesuchocki/1247618519/
-58.430196,2007-02-04 12:21:59,2010-08-05 14:06:57,pei,"pancho,tapete,sharpei,pei,shar,duetos,flickrchallengewinner,alfombrita",2496,Javier Tenembaum,381996668_addee1d871.jpg,-34.608941,91721134@N00,http://www.flickr.com/photos/javo-/381996668/
,2007-09-22 09:16:42,2010-06-01 13:45:44,pei,"paris,france,museum,architecture,louvre,chinese,musée,m,explore,architect,staircase,curved,pei,impei,nogginnogged",4555,"",1478646248_0f5c6316d6.jpg,,7232802@N06,http://www.flickr.com/photos/noggin_nogged/1478646248/
2.335731,2008-04-17 00:26:17,2010-09-03 09:25:47,pei,"bw,motion,paris,spiral,blackwhite,movement,stair,pyramid,louvre,walk,staircase,pei,modernarchitecture,ascending,decending,superaplus,aplusphoto,elijahnorthen,thebestcityshots",1045,Eli,2529535313_163b20bd3f.jpg,48.861143,9412989@N04,http://www.flickr.com/photos/elinorthen/2529535313/
2.336182,2005-09-16 18:24:50,2010-07-30 21:19:16,pei,"sky,bw,paris,reflection,topf25,glass,architecture,clouds,topf50,topf75,pyramid,louvre,wide,d70s,symmetry,converted,topf100,pei,sigma1020mm,asymmery,expo0701bl6,expo0701bl,expo0701",6885,Nathan Kendall,196962881_4f837bebdc.jpg,48.861108,75711873@N00,http://www.flickr.com/photos/alternate/196962881/
,2009-09-19 21:28:32,2010-08-08 00:23:28,pei,"sf,tongue,with,fig,action,warhol,pei,greenapple,preset,nikkor50mmf14,nikond300,headcoverish",3241,Cindy,3946064621_fae1de79a3.jpg,,37451064@N00,http://www.flickr.com/photos/cloughridge/3946064621/
-3.687887,2010-05-29 12:56:53,2010-09-16 04:52:02,pei,"madrid,city,urban,water,glass,architecture,spain,towers,pei,ctba,pelli,torredecristal,torreespacio,cuatrotorres",755,David Gutierrez,4683158392_11e1dbeaef.jpg,40.478047,21775664@N07,http://www.flickr.com/photos/davidgutierrez/4683158392/
,2007-06-25 19:59:23,2009-07-30 15:54:06,pei,"sunset,canada,beach,clouds,landscape,searchthebest,dreams,princeedwardisland,isle,soe,panmureisland,panmure,supershot,d80,outstandingshots,flickrsbest,impressedbeauty,wowiekazowie",2776,Phillip Chitwood,635615014_85e7dd616f.jpg,,91251243@N00,http://www.flickr.com/photos/phillipchitwood/635615014/
-63.792071,2008-10-25 10:39:38,2010-08-21 13:26:40,pei,"ocean,canada,water,marina,photoshop,boats,island,harbour,sony,cybershot,prince,edward,princeedwardisland,sailboats,pei,hdr,summerside,cotcmostinteresting,dansnyder,photomatixpro,3exp,mywinners,anawesomeshot,colorphotoaward,photoshopcs3,thatsclassy,dsch50,danrsnyder",789,Dan Snyder,2971754146_9fc71a9cde.jpg,46.389095,14238193@N07,http://www.flickr.com/photos/danrsnyder/2971754146/
114.159864,2010-01-28 18:34:45,2010-09-05 10:10:49,pei,"china,blue,light,building,tower,architecture,modern,night,skyscraper,buildings,geotagged,hongkong,noche,im,nacht,main,central,bank,center,norman,hong,kong,foster,hour,noite,中国,香港,grattacielo,nuit,pei,hsbc,gebäude,notte,nachtaufnahme,impei,bankofchina,wolkenkratzer,cheung,rascacielo,gratteciel,摩天大楼,arranhacéu,中銀大廈,長江集團中心,©allrightsreserved,cheungkongcenter,standardcharteredbank,香港滙豐總行大廈,渣打銀行,mygearandmepremium,thehongkongandshanghaibank,geo:lat=22281117,geo:lon=114159864",1221,Markus Bahlmann,4345145237_be6fcbd964.jpg,22.281117,48646584@N00,http://www.flickr.com/photos/cnmark/4345145237/
2.335821,2009-01-11 06:50:09,2010-09-07 11:35:27,pei,"paris,france,girl,museum,architecture,lumix,bravo,louvre,stairway,panasonic,scala,museo,francia,soe,pei,architettura,ragazza,parigi,curva,damncool,muséedulouvre,scalini,blueribbonwinner,linescurves,littlestories,opl,ieohmingpei,photographia,imagepoetry,fineartphotos,mywinners,abigfave,platinumphoto,superbmasterpiece,goldenphotographer,megashot,ysplix,excellentphotographerawards,flickrelite,theunforgettablepictures,fz18,theperfectphotographer,“damncool”,goldstaraward,ostrellina,picswithsoul,worldtrekker,mastersoflifegallery,spiritofphotography,bestoneframeshortnominee,oneofthegreatestoneframeshortmaker,peachofashot,isco72,goldenart,phvalue,artofimages,francescopallante,unusualviewsperspectives,thedantecircle,thearcadiasociety,bestcapturesaoi",3959,Francesco Pallante,2404385017_a130eedbd6.jpg,48.861014,8806090@N07,http://www.flickr.com/photos/isco72/2404385017/
2.33682,2010-07-18 19:59:43,2010-08-31 13:23:23,pei,"sun,sol,soleil,pyramid,pentax,louvre,bluesky,pyramide,pei,piramide,cielbleu,cieloazul,k10d,0991f3d23cf34a73ab609f550624a11b",477,Eloy Ricárdez Luna,4806275355_22a38df447.jpg,48.860776,25028639@N05,http://www.flickr.com/photos/eloyricardez/4806275355/
13.396774,2008-02-23 12:16:45,2010-08-16 05:33:49,pei,"blue,light,shadow,people,color,building,berlin,topf25,glass,monochrome,museum,architecture,modern,contrast,digital,germany,dark,geotagged,concrete,interestingness,topf50,nikon,women,topf75,europe,photographer,tl,steel,candid,monotone,explore,lea,d200,nikkor,dslr,toned,ming,topf100,mitte,vignette,pei,dhm,members,deutsches,february23,50mmf18,ogm,historisches,interestingness7,ieoh,fav100,i500,utatafeature,manganite,nikonstunninggallery,ipernity,aplusphoto,leadipernity,date:year=2008,february232008,geo:lat=52518703,geo:lon=13396774,date:month=february,format:ratio=32",2354,Thomas Lottermoser,2324097069_810444c086.jpg,52.518703,62328475@N00,http://www.flickr.com/photos/manganite/2324097069/
,2006-08-22 08:50:47,2010-05-23 20:29:59,pei,"new,sunset,en,canada,topf25,beautiful,atardecer,heaven,paradise,quebec,magic,brunswick,most,creation,princeedwardisland,crepusculo,interestingness57,pei,cavendish,italians,confederationbridge,atlanticcoast,i500,anawesomeshot,impressedbeauty,jalca,goldenphotographer,bestsunsetpei",2722,Alex Leon,364724182_0e7972d7dd.jpg,,99456786@N00,http://www.flickr.com/photos/oldperegrine/364724182/
,2007-06-20 20:28:36,2010-04-10 17:45:06,pei,"textura,sand,desert,wind,d70s,morroco,arena,1870mmf3545g,desierto,marruecos,pei,zagora,muted,mutedcolor,colorphotoaward,todaysbestaward,aspect1610,youvegottheeye,elpei,flickrclassique",6122,Pablo Arroyo,807941397_53cc9341d3.jpg,,52847028@N00,http://www.flickr.com/photos/elpei/807941397/
,2007-07-02 20:45:57,2010-07-22 06:18:20,pei,"bridge,canada,clouds,newbrunswick,princeedwardisland,confederation,confederationbridge,supershot,d80,anawesomeshot,excellentscenic",9357,Phillip Chitwood,699335001_780331ab8a.jpg,,91251243@N00,http://www.flickr.com/photos/phillipchitwood/699335001/
,2006-10-07 17:42:41,2010-07-25 08:25:39,pei,"city,urban,storm,green,glass,architecture,modern,skyscraper,dallas,downtown,cloudy,highrise,pei,ninjatune,swivel,classa,tuf,fountainplace,urbanfabric,surfacelot,justinterveen,wwwtheurbanfabriccom,theurbanfabric,urbanfabricphotography",6925,Justin Terveen,280686783_3259659480.jpg,,59136427@N00,http://www.flickr.com/photos/ninjatune/280686783/
,2006-08-27 01:07:12,2010-09-09 19:56:04,pei,"trees,red,sky,cliff,lighthouse,white,canada,green,texture,clouds,fence,pei,personalbest,5photosaday,atlanticprovinces,bej,mywinners,omot,ruralexcellence,citrit,eyejewel,betterthangood,theperfectphotographer,panmureislandlighthouse,artistictreasurechest,visionquality",2768,AJ,3335007367_3b0df53672.jpg,,24925657@N05,http://www.flickr.com/photos/amanda_white_photography/3335007367/
,2003-07-31 04:03:31,2009-10-02 06:41:15,pei,"show,portrait,dog,dogs,closeup,top20animalpix,rally,award,canine,top20dogpix,agility,top20dogpixhalloffame,5bestdogs,dogshow,headshots,obedience,pei,shar,k9,1on1,conformation,interestingness3,i500,judgementday53,explore030306",4870,Traci Murdock,107442965_49783c9cb7.jpg,,43072440@N00,http://www.flickr.com/photos/picturespot/107442965/
,2008-10-07 11:02:43,2010-09-19 08:47:52,pei,"canada,beach,sailboat,umbrella,boat,sand,women,waves,horizon,hats,footprints,dresses,farewell,princeedwardisland,goodbye,waving,20thcentury,auf,pei,1916,adeus,wiedersehen,mccordmuseum,notman,muséemccord,rusticobeach,commons:event=commonground2009",13399,"",2922443488_e2850ca021.jpg,,25786829@N08,http://www.flickr.com/photos/museemccordmuseum/2922443488/
