lon,taken_at,updated_at,internal_category,tags,views,owner_realname,photo_id,lat,owner,photopage_url
-122.407393,2010-07-18 00:24:15,2010-09-17 09:17:10,sanfrancisco,"sanfrancisco,blue,portrait,rain,backlight,alley,downtown,bokeh,raindrops,rimlight,d90,strobist,waterbokeh,yn460,apollosoftbox,zhewen",8012,"",4803865119_c22e38e454.jpg,37.78998,20789269@N04,http://www.flickr.com/photos/20789269@N04/4803865119/
-122.372481,2010-03-10 22:10:03,2010-09-05 13:55:05,sanfrancisco,"sf,sanfrancisco,california,city,bridge,blue,urban,motion,blur,car,skyline,night,landscape,nikon,treasureisland,suspension,action,dusk,interior,wide,tokina,baybridge,bayarea,eastbay,zoomzoom,80,span,coit,longshutter,mazda3,nimitz,uwa,lightpaint,1116,d300s",13694,Jonathan Fleming,4424301013_0aac907e92.jpg,37.803184,33684889@N06,http://www.flickr.com/photos/jfleming701/4424301013/
-122.476197,2010-03-07 17:51:43,2010-09-09 09:07:40,sanfrancisco,"sf,sanfrancisco,park,portrait,dog,cute,nature,forest,puppy,lost,nikon,tokina,suki,shibainu,sterngrove,sloat,lr3,shibaken,柴犬,sb800,1116,ezy,strobist,sb900,d300s,52weeksfordogs",6746,Jonathan Fleming,4416049968_0ec545f01c.jpg,37.735298,33684889@N06,http://www.flickr.com/photos/jfleming701/4416049968/
-122.485778,2010-02-27 14:00:02,2010-07-25 09:48:13,sanfrancisco,"chile,sanfrancisco,bridge,usa,seascape,canon,landscape,golden,earthquake,gate,pacific,tsunami,5d,2010,mkii,5dmkii",11610,Patrick Smith,4394345242_25b1a59796.jpg,37.826675,7765891@N08,http://www.flickr.com/photos/patrick-smith-photography/4394345242/
-122.426415,2009-11-08 05:43:35,2010-09-13 02:27:50,sanfrancisco,"sanfrancisco,park,red,portrait,pet,cute,animal,japan,puppy,japanese,nikon,wolf,fox,breed,suki,shibainu,pure,noevalley,shibaken,柴犬,sukichan,d300s",2680,Jonathan Fleming,4090731801_2b0aee1421.jpg,37.742222,33684889@N06,http://www.flickr.com/photos/jfleming701/4090731801/
-122.392244,2010-05-04 22:12:39,2010-09-15 20:24:40,sanfrancisco,"sanfrancisco,night,lights,nikon,downtown,skyscrapers,wideangle,tokina,motionblur,freeway,baybridge,lighttrails,1224mm,d90",5605,Matthew Granz,4585701461_ea81e3f5f3.jpg,37.760231,82339538@N00,http://www.flickr.com/photos/mattgranz/4585701461/
-122.372331,2010-01-17 17:21:38,2010-09-08 06:43:23,sanfrancisco,"sanfrancisco,california,longexposure,bridge,usa,rain,canon,oakland,treasureisland,traffic,baybridge,5d,yerbabuena,mkii,5dmkii",13644,Patrick Smith,4285863806_21e106d7c2.jpg,37.803409,7765891@N08,http://www.flickr.com/photos/patrick-smith-photography/4285863806/
-122.396535,2010-07-17 05:57:32,2010-09-19 05:06:22,sanfrancisco,"sf,sanfrancisco,lighting,portrait,dog,cute,project,puppy,japanese,nikon,embarcadero,wireless,week28,nikkor,suki,shibainu,70300mm,vr,afs,cls,pier7,70300,shibaken,柴犬,strobist,sb900,d300s,52weeksfordogs",4440,Jonathan Fleming,4803976982_5835228c2c.jpg,37.798814,33684889@N06,http://www.flickr.com/photos/jfleming701/4803976982/
-122.496646,2010-01-04 06:26:46,2010-09-17 12:28:02,sanfrancisco,"sf,sanfrancisco,sunset,red,sky,dog,cute,beach,night,puppy,japanese,nikon,dusk,flash,1750,wireless,nikkor,suki,shibainu,shiba,tamron,speedlight,vc,strobe,cls,lr3,hotshoe,shibaken,柴犬,sb800,creativelighting,offcamera,strobist,sb900,d300s,52weeksfordogs,lightroom3beta",25367,Jonathan Fleming,4246028907_26a71f213e.jpg,37.697854,33684889@N06,http://www.flickr.com/photos/jfleming701/4246028907/
-122.535623,2010-01-23 17:02:40,2010-09-13 13:09:08,sanfrancisco,"ocean,sanfrancisco,california,longexposure,travel,blue,sunset,sea,sky,usa,seascape,color,reflection,beach,nature,water,clouds,landscape,golden,coast,sand,marine,rocks,colorful,waves,natural,pacific,tripod,shoreline,rocky,wideangle,coastal,shore,lee,marincounty,coastline,ripples,sausalito,beams,gitzo,marinheadlands,goldengaterecreationarea,graduatedneutraldensityfilter,nikkor1735mm,nikond300,markinsm20ballhead,jimpattersonphotography,jimpattersonphotographycom",4907,Jim Patterson,4382853888_dea929ba70.jpg,37.829058,59728669@N00,http://www.flickr.com/photos/jimpatterson/4382853888/
